speciesA,speciesB
Quercus dentata,Quercus serrata
Quercus mongolica,Quercus serrata
Quercus geminata,Quercus virginiana
Quercus hypoleucoides,Quercus scytophylla
Quercus hypoleucoides,Quercus sideroxyla
Quercus scytophylla,Quercus sideroxyla
Quercus alnifolia,Quercus calliprinos
Quercus calliprinos,Quercus coccifera
Quercus calliprinos,Quercus ilex
Quercus alnifolia,Quercus coccifera
Quercus liaotungensis,Quercus mongolica
Quercus falcata,Quercus rubra
Quercus douglasii,Quercus gambelii
Quercus douglasii,Quercus lobata
Quercus douglasii,Quercus turbinella
Quercus gambelii,Quercus robur
Quercus garryana,Quercus turbinella
Quercus lobata,Quercus macrocarpa
Quercus lobata,Quercus turbinella
Quercus macrocarpa,Quercus mongolica
Quercus macrocarpa,Quercus robur
Quercus macrocarpa,Quercus turbinella
Quercus mongolica,Quercus turbinella
Quercus robur,Quercus turbinella
Quercus stellata,Quercus turbinella
Quercus turbinella,Quercus virginiana
Quercus berberidifolia,Quercus engelmannii
Quercus cornelius‐mulleri ,Quercus engelmannii
Quercus durata,Quercus engelmannii
Quercus acuta,Quercus sessilifolia
Quercus fusiformis,Quercus oleoides
Quercus fusiformis,Quercus virginiana
Quercus oleoides,Quercus sagraeanna
Quercus sagraeanna,Quercus virginiana
Quercus austrocochinchinensi,Quercus kerrii
Quercus castanea,Quercus crassifolia
Quercus castanea,Quercus crassipes
Quercus castanea,Quercus laurina
Quercus castanea,Quercus mexicana
Quercus hinckleyii,Quercus pungens
Quercus hinckleyii,Quercus vaseyana
Quercus magnolifolia,Quercus resinosa
Quercus garryana,Quercus sadleriana
Quercus pontica,Quercus robur
Quercus pontica,Quercus sadleriana
Quercus engelmannii,Quercus lobata
Quercus chrysolepis,Quercus tomentella
Quercus branttii,Quercus macrolepis
Quercus ithaburensis,Quercus libani
Quercus libani,Quercus trojana
Quercus suber,Quercus trojana
