speciesA,speciesB,RI,,,
Quercus castanea,Quercus conzattii,0,Spellenberg and Bacon 1996,morphology,
Quercus coccolobifolia,Quercus conzattii,0,,,
Quercus coccolobifolia,Quercus radiata,0,,,
Quercus coccolobifolia,Quercus tarahumara,0,,,
Quercus conzattii,Quercus crassifolia,0,,,
Quercus conzattii,Quercus eduardii,0,,,
Quercus eduardii,Quercus radiata,0,,,
Quercus canariensis,Quercus faginea,0,Dumolin-Lapegue et al. 1997,genetic,
Quercus canariensis,Quercus frainetto,0,,,
Quercus canariensis,Quercus macranthera,0,,,
Quercus canariensis,Quercus petraea,0,,,
Quercus canariensis,Quercus pubescens,0,,,
Quercus canariensis,Quercus pyrenica,0,,,
Quercus canariensis,Quercus robur,0,,,
Quercus faginea,Quercus frainetto,0,,,
Quercus faginea,Quercus macranthera,0,,,
Quercus faginea,Quercus petraea,0,,,
Quercus faginea,Quercus pubescens,0,,,
Quercus faginea,Quercus pyrenica,0,,,
Quercus faginea,Quercus robur,0,,,
Quercus macranthera,Quercus petraea,0,,,
Quercus macranthera,Quercus pubescens,0,,,
Quercus macranthera,Quercus pyrenica,0,,,
Quercus macranthera,Quercus robur,0,,,
Quercus petraea,Quercus pubescens,0,,,
Quercus petraea,Quercus pyrenica,0,,,
Quercus pubescens,Quercus pyrenica,0,,,
Quercus pubescens,Quercus robur,0,,,
Quercus pyrenica,Quercus robur,0,,,
Quercus cedrosensis,Quercus engelmannii,0,Manos et al. 1999,genetic,inferred from cpDNA phylogeny
Quercus engelmannii,Quercus tormentella,0,,,
Quercus ilex,Quercus suber,0,Behlabib et al. 2001,genetic,
Quercus agrifolia,Quercus parvula,0,Dodd and Kashani 2003,morphology,
Quercus keloggii,Quercus parvula,0,,,
Quercus parvula,Quercus wislizeni,0,,,
Quercus dentata,Quercus mongolica,0,Ishida et al. 2003,morphology/genetic,
Quercus affins,Quercus laurina,0,Gonzalez-Rodriguez et al. 2004,morphology/genetic,
Quercus crassifolia,Quercus laurina,0,,,
Quercus crassipes,Quercus laurina,0,,,
Quercus laurina,Quercus mexicana,0,,,
Quercus laurina,Quercus rubramenta,0,,,
Quercus coccifera,Quercus ilex,0,Jimenez et al. 2004,morphology/genetic,
Quercus canariensis,Quercus faginea,0,Morales et al. 2005,genetic,
Quercus husitanica,Quercus pyrenaica,0,,,
Quercus carniensis,Quercus suber,0,Mir et al. 2006,morphology/genetic,* disputed
Quercus cerris,Quercus suber,0,Conte et al. 2007,genetic,
Quercus aliena,Quercus dentata,0,Okura et al. 2007,genetic,
Quercus aliena,Quercus mongolica,0,,,
Quercus aliena,Quercus serrata,0,,,
Quercus dentata,Quercus serrata,0,,,
Quercus mongolica,Quercus serrata,0,,,
Quercus geminata,Quercus virginiana,0,Cavender-Bares and Pahlch 2009,morphology/genetic,
Quercus hypoleucoides,Quercus scytophylla,0,Penaloza-Ramirez et al. 2010,morphology/genetic,
Quercus hypoleucoides,Quercus sideroxyla,0,,,
Quercus scytophylla,Quercus sideroxyla,0,,,
Quercus alnifolia,Quercus calliprinos,0,Toumi and Lumaret 2010,genetic/reference,
Quercus calliprinos,Quercus coccifera,0,,,
Quercus calliprinos,Quercus ilex,0,,,
Quercus alnifolia,Quercus coccifera,0,Neophytou et al. 2011,reference,
Quercus liaotungensis,Quercus mongolica,0,Zeng et al. 2011,genetic,
Quercus falcata,Quercus rubra,0,Moran et al. 2012,genetic,
Quercus douglasii,Quercus gambelii,0,Gailing and Curtu 2014,reference,
Quercus douglasii,Quercus lobata,0,,,
Quercus douglasii,Quercus turbinella,0,,,
Quercus gambelii,Quercus robur,0,,,
Quercus garryana,Quercus turbinella,0,,,
Quercus lobata,Quercus macrocarpa,0,,,
Quercus lobata,Quercus turbinella,0,,,
Quercus macrocarpa,Quercus mongolica,0,,,
Quercus macrocarpa,Quercus robur,0,,,
Quercus macrocarpa,Quercus turbinella,0,,,
Quercus mongolica,Quercus turbinella,0,,,
Quercus robur,Quercus turbinella,0,,,
Quercus stellata,Quercus turbinella,0,,,
Quercus turbinella,Quercus virginiana,0,,,
Quercus berberidifolia,Quercus engelmannii,0,Ortego et al. 2014,genetic,
Quercus cornelius‐mulleri ,Quercus engelmannii,0,,,
Quercus durata,Quercus engelmannii,0,,,
Quercus acuta,Quercus sessilifolia,0,Tamaki and Okada 2014,genetic,
Quercus fusiformis,Quercus oleoides,0,Cavender-Bares et al. 2015,genetic,
Quercus fusiformis,Quercus virginiana,0,,,
Quercus oleoides,Quercus sagraeanna,0,Eaton et al. 2015,genetic,
Quercus sagraeanna,Quercus virginiana,0,,,
Quercus austrocochinchinensi,Quercus kerrii,0,Song et al. 2015,morphology,
Quercus castanea,Quercus crassifolia,0,Valencia-Cuevas et al. 2015,genetic,
Quercus castanea,Quercus crassipes,0,,,
Quercus castanea,Quercus laurina,0,,,
Quercus castanea,Quercus mexicana,0,,,
Quercus hinckleyii,Quercus pungens,0,Backs et al. 2016,genetic,
Quercus hinckleyii,Quercus vaseyana,0,,,
Quercus magnolifolia,Quercus resinosa,0,Perez-Lopez et al. 2016,reference,
Quercus garryana,Quercus sadleriana,0,McVay et al. 2017b,reference,
Quercus pontica,Quercus robur,0,,,
Quercus pontica,Quercus sadleriana,0,,genetic,
Quercus engelmannii,Quercus lobata,0,Kim et al. 2018,genetic,
