speciesA,speciesB,author,datatype,hybrid,exclude,notes,overlap,records
chrysolepis,tomentella,Thorne 1967,morphology,1,,****,,
gambelii,macrocarpa,Maze 1968,morphology,1,,,,
agrifolia,wislizeni,Brophy and Parnell 1974,morphology,1,,,,
alba,austrina,Hardin 1975,morphology,1,,,,
alba,durandii,Hardin 1975,morphology,1,,,,
alba,margarettae,Hardin 1975,morphology,1,,,,
alba,michauxii,Hardin 1975,morphology,1,,,,
austrina,lyrata,Hardin 1975,morphology,1,,,,
austrina,margarettae,Hardin 1975,morphology,1,,,,
austrina,stellata,Hardin 1975,morphology,1,,,,
austrina,virginiana,Hardin 1975,morphology,1,,,,
bicolor,montana,Hardin 1975,morphology,1,,,,
bicolor,virginiana,Hardin 1975,morphology,1,,,,
margarettae,virginiana,Hardin 1975,morphology,1,,,,
michauxii,lyrata,Hardin 1975,morphology,1,,,,
michauxii,macrocarpa,Hardin 1975,morphology,1,,,,
minima,stellata,Hardin 1975,morphology,1,,,,
minima,virginiana,Hardin 1975,morphology,1,,,,
muhlenbergii,prinoides,Hardin 1975,morphology,1,,,,
falcata,pagoda,Jensen 1989,reference,1,,,,
coccolobifolia,emoryi,Boecklen and Spellenberg 1990,morphology,1,,,,
depressipes,rugosa,Boecklen and Spellenberg 1990,morphology,1,,,,
castanea,conzattii,Spellenberg and Bacon 1996,morphology,1,,,,
coccolobifolia,conzattii,Spellenberg and Bacon 1996,morphology,1,,,,
coccolobifolia,radiata,Spellenberg and Bacon 1996,morphology,1,,,,
coccolobifolia,tarahumara,Spellenberg and Bacon 1996,morphology,1,,,,
conzattii,crassifolia,Spellenberg and Bacon 1996,morphology,1,,,,
conzattii,eduardi,Spellenberg and Bacon 1996,morphology,1,,,,
eduardi,radiata,Spellenberg and Bacon 1996,morphology,1,,,,
canariensis,faginea,Dumolin-Lapegue et al. 1997,genetic,1,,,,
canariensis,frainetto,Dumolin-Lapegue et al. 1997,genetic,1,,,,
canariensis,macranthera,Dumolin-Lapegue et al. 1997,genetic,1,,,,
canariensis,petraea,Dumolin-Lapegue et al. 1997,genetic,1,,,,
canariensis,pubescens,Dumolin-Lapegue et al. 1997,genetic,1,,,,
canariensis,pyrenica,Dumolin-Lapegue et al. 1997,genetic,1,,,,
canariensis,robur,Dumolin-Lapegue et al. 1997,genetic,1,,,,
faginea,frainetto,Dumolin-Lapegue et al. 1997,genetic,1,,,,
faginea,macranthera,Dumolin-Lapegue et al. 1997,genetic,1,,,,
faginea,petraea,Dumolin-Lapegue et al. 1997,genetic,1,,,,
faginea,pubescens,Dumolin-Lapegue et al. 1997,genetic,1,,,,
faginea,pyrenica,Dumolin-Lapegue et al. 1997,genetic,1,,,,
faginea,robur,Dumolin-Lapegue et al. 1997,genetic,1,,,,
macranthera,petraea,Dumolin-Lapegue et al. 1997,genetic,1,,,,
macranthera,pubescens,Dumolin-Lapegue et al. 1997,genetic,1,,,,
macranthera,pyrenica,Dumolin-Lapegue et al. 1997,genetic,1,,,,
macranthera,robur,Dumolin-Lapegue et al. 1997,genetic,1,,,,
petraea,pubescens,Dumolin-Lapegue et al. 1997,genetic,1,,,,
petraea,pyrenica,Dumolin-Lapegue et al. 1997,genetic,1,,,,
pubescens,pyrenica,Dumolin-Lapegue et al. 1997,genetic,1,,,,
pubescens,robur,Dumolin-Lapegue et al. 1997,genetic,1,,,,
pyrenica,robur,Dumolin-Lapegue et al. 1997,genetic,1,,,,
cedrosensis,engelmannii,Manos et al. 1999,genetic,1,,inferred from cpDNA phylogeny,,
engelmannii,tormentella,Manos et al. 1999,genetic,1,,,,
ilex,suber,Behlabib et al. 2001,genetic,1,,,,
agrifolia,parvula,Dodd and Kashani 2003,morphology,1,,,,
kelloggii,parvula,Dodd and Kashani 2003,morphology,1,,,,
parvula,wislizeni,Dodd and Kashani 2003,morphology,1,,,,
dentata,mongolica,Ishida et al. 2003,morphology/genetic,1,,,,
affinis,laurina,Gonzalez-Rodriguez et al. 2004,morphology/genetic,1,,,,
crassifolia,laurina,Gonzalez-Rodriguez et al. 2004,morphology/genetic,1,,,,
crassipes,laurina,Gonzalez-Rodriguez et al. 2004,morphology/genetic,1,,,,
laurina,mexicana,Gonzalez-Rodriguez et al. 2004,morphology/genetic,1,,,,
laurina,rubramenta,Gonzalez-Rodriguez et al. 2004,morphology/genetic,1,,,,
coccifera,ilex,Jimenez et al. 2004,morphology/genetic,1,,,,
canariensis,faginea,Morales et al. 2005,genetic,1,,,,
husitanica,pyrenaica,Morales et al. 2005,genetic,1,,,,
canariensis,suber,Mir et al. 2006,morphology/genetic,1,1,disputed by ***,,
cerris,suber,Conte et al. 2007,genetic,1,,,,
aliena,dentata,Okura et al. 2007,genetic,1,,,,
aliena,mongolica,Okura et al. 2007,genetic,1,,,,
aliena,serrata,Okura et al. 2007,genetic,1,,,,
dentata,serrata,Okura et al. 2007,genetic,1,,,,
mongolica,serrata,Okura et al. 2007,genetic,1,,,,
geminata,virginiana,Cavender-Bares and Pahlch 2009,morphology/genetic,1,,,,
hypoleucoides,scytophylla,Penaloza-Ramirez et al. 2010,morphology/genetic,1,,,,
hypoleucoides,sideroxyla,Penaloza-Ramirez et al. 2010,morphology/genetic,1,,,,
scytophylla,sideroxyla,Penaloza-Ramirez et al. 2010,morphology/genetic,1,,,,
alnifolia,calliprinos,Toumi and Lumaret 2010,genetic/reference,1,,,,
calliprinos,coccifera,Toumi and Lumaret 2010,genetic/reference,1,,,,
calliprinos,ilex,Toumi and Lumaret 2010,genetic/reference,1,,,,
alnifolia,coccifera,Neophytou et al. 2011,reference,1,,,,
liaotungensis,mongolica,Zeng et al. 2011,genetic,1,,,,
falcata,rubra,Moran et al. 2012 ,genetic,1,,,,
douglasii,gambelii,Gailing and Curtu 2014,reference,1,,,,
douglasii,lobata,Gailing and Curtu 2014,reference,1,,,,
douglasii,turbinella,Gailing and Curtu 2014,reference,1,,,,
gambelii,robur,Gailing and Curtu 2014,reference,1,,,,
garryana,turbinella,Gailing and Curtu 2014,reference,1,,,,
lobata,macrocarpa,Gailing and Curtu 2014,reference,1,,,,
lobata,turbinella,Gailing and Curtu 2014,reference,1,,,,
macrocarpa,mongolica,Gailing and Curtu 2014,reference,1,,,,
macrocarpa,robur,Gailing and Curtu 2014,reference,1,,,,
macrocarpa,turbinella,Gailing and Curtu 2014,reference,1,,,,
mongolica,turbinella,Gailing and Curtu 2014,reference,1,,,,
robur,turbinella,Gailing and Curtu 2014,reference,1,,,,
stellata,turbinella,Gailing and Curtu 2014,reference,1,,,,
turbinella,virginiana,Gailing and Curtu 2014,reference,1,,,,
berberidifolia,engelmannii,Ortego et al. 2014,genetic,1,,,,
cornelius‐mulleri,engelmannii,Ortego et al. 2014,genetic,1,,,,
durata,engelmannii,Ortego et al. 2014,genetic,1,,,,
acuta,sessilifolia,Tamaki and Okada 2014,genetic,1,,,,
fusiformis,oleoides,Cavender-Bares et al. 2015,genetic,1,,,,
fusiformis,virginiana,Cavender-Bares et al. 2015,genetic,1,,,,
oleoides,sagraeana,Eaton et al. 2015,genetic,1,,,,
sagraeana,virginiana,Eaton et al. 2015,genetic,1,,,,
austrocochinchinensis,kerrii,Song et al. 2015,morphology,1,,,,
castanea,crassifolia,Valencia-Cuevas et al. 2015,genetic,1,,,,
castanea,crassipes,Valencia-Cuevas et al. 2015,genetic,1,,,,
castanea,laurina,Valencia-Cuevas et al. 2015,genetic,1,,,,
castanea,mexicana,Valencia-Cuevas et al. 2015,genetic,1,,,,
hinckleyi,pungens,Backs et al. 2016,genetic,1,,,,
hinckleyi,vaseyana,Backs et al. 2016,genetic,1,,,,
magnoliifolia,resinosa,Perez-Lopez et al. 2016,reference,1,,,,
garryana,sadleriana,McVay et al. 2017b,reference,1,,,,
pontica,robur,McVay et al. 2017b,reference,1,,,,
pontica,sadleriana,?,genetic,1,,,,
engelmannii,lobata,Kim et al. 2018,genetic,1,,,,
chrysolepis,tomentella,Ortego et al. 2018,genetic,1,,,,
brantii,macrolepis,Simeone et al. 2018 ,genetic,1,,,,
ithaburensis,libani,Simeone et al. 2018 ,genetic,1,,,,
libani,trojana,Simeone et al. 2018 ,genetic,1,,,,
suber,trojana,Simeone et al. 2018 ,genetic,1,,,,
