speciesA,speciesB
Q.mongolica,Q.turbinella
Q.robur,Q.turbinella
Q.stellata,Q.turbinella
Q.turbinella,Q.virginiana
Q.berberidifolia,Q.engelmannii
Q.cornelius‐mulleri ,Q.engelmannii
Q.durata,Q.engelmannii
Q.acuta,Q.sessilifolia
Q.fusiformis,Q.oleoides
Q.fusiformis,Q.virginiana
Q.oleoides,Q.sagraeanna
Q.sagraeanna,Q.virginiana
Q.austrocochinchinensi,Q.kerrii
Q.castanea,Q.crassifolia
Q.castanea,Q.crassipes
Q.castanea,Q.laurina
Q.castanea,Q.mexicana
Q.hinckleyii,Q.pungens
Q.hinckleyii,Q.vaseyana
Q.magnolifolia,Q.resinosa
Q.garryana,Q.sadleriana
Q.pontica,Q.robur
Q.pontica,Q.sadleriana
Q.engelmannii,Q.lobata
Q.chrysolepis,Q.tomentella
Q.branttii,Q.macrolepis
Q.ithaburensis,Q.libani
Q.libani,Q.trojana
Q.suber,Q.trojana
